1743	53	2022-10-01 12:58:26	<p>Download <em>Contoh Compro, Catalog &amp; Quotation Letter</em></p><p><a href="https://drive.google.com/drive/folders/1erjRkCF1Ie9-FyZeW350srot-SJ9mXkD?usp=sharing">Download Compro dan Catalog</a></p><p><a href="https://drive.google.com/drive/folders/1n_ntQOM1kEBKwM9zH-QlSeAAmxCxYwPz?usp=drive_link">Download Quotation Letter</a></p><p>Setelah Belajar Silahkan <strong>KLIK</strong> <strong>COMPLETE</strong></p>	Downlaod Contoh Compro, Catalog & Quotation Letter	publish	downlaod-contoh-compro-catalog-quotation-letter	0	lesson
1798	53	2022-10-04 11:22:57	<p><br data-mce-bogus="1"></p>	Panduan Join Komunitas Ekspor Yuk	publish	panduan-join-komunitas-ekspor-yuk	0	lesson
1841	53	2022-10-12 16:36:11	<p>Berikut Daftar Komoditas Potensial Ekspor Daerah:</p><p>Silahkan <a data-mce-href="https://drive.google.com/file/d/16-mSGg0R0n6Z927OiveRdW13L7STkiSz/view?usp=sharing" href="https://drive.google.com/file/d/16-mSGg0R0n6Z927OiveRdW13L7STkiSz/view?usp=sharing">Download disini </a></p><p><strong>Klik Complate</strong> setelah Download File disini</p>	Daftar Komoditas Potensial Ekspor Daerah	publish	daftar-komoditas-potensial-ekspor-daerah	0	lesson
1842	53	2022-10-12 16:37:15	<p>Database Buyer Luar Negeri Silahkan <a href="https://drive.google.com/drive/folders/1jfAQZtQBRlZawQT8IXdU3cGDwfsUyNj3?usp=sharing">Download Disini</a></p><p><strong>Klik Complate</strong> setelah Download File disini</p>	Database Buyer 2021-2022 (Data Lama)	publish	database-buyer-2021-2022-data-lama	0	lesson
1843	53	2022-10-12 16:38:45	<p>Kontrak Kerja Supplier Silahkan <a href="https://drive.google.com/file/d/18Jp-cwd3s3Ldv-OCAbFRWDyPjIOmt6XY/view?usp=sharing">Download Disini</a></p><p><strong>Klik Complate</strong> setelah Download File disini</p>	Download Contoh Kontrak Kerja Sama dengan Suplier	publish	download-contoh-kontrak-kerja-sama-dengan-suplier	0	lesson
1844	53	2022-10-12 16:39:50	<p>Contoh Surat Kontrak Kerja Silahkan <a data-mce-href="https://drive.google.com/file/d/1rPRsOF4CiGU18RXjWAwR7yQLGaSPqbUT/view?usp=sharing" href="https://drive.google.com/file/d/1rPRsOF4CiGU18RXjWAwR7yQLGaSPqbUT/view?usp=sharing">Download Disini&nbsp;</a></p><p><strong>Klik Complate</strong> setelah Download File disini</p>	Download Contoh Surat Kontrak Kerja (FCO)	publish	download-contoh-surat-kontrak-kerja-fco	0	lesson
2592	53	2022-11-03 06:39:50	<p>Dalam Video ini anda akan belajar cara membeli hosting dan domain.</p><p><strong><a href="https://my.dewabiz.com/aff.php?aff=224" target="_blank" rel="noopener">Beli Hosting Disini </a>(Ada di Dewabiz)</strong><br /><strong><a href="https://domainer.co.id/client/aff.php?aff=99" target="_blank" rel="noopener">Beli Domain Disini</a> (Ada di Domainer)</strong></p><p>Untuk mendapatkan Gratis Hosting selama 3 bulan masukan kupon <strong>EKSPORYUK</strong> sesuai penjelasan yang ada di Video.</p><p><span style="text-decoration: underline"><em>Join Grup Support Website Ekspor ada di Telegram</em></span> <a href="https://t.me/+bdlltdedQJc2Njll" target="_blank" rel="noopener"><strong>KLIK DISINI</strong></a></p><p>Klik <strong>COMPLATE</strong> Untuk melanjutkan Video.</p>	Cara Membeli Hosting dan Domain	publish	cara-membeli-hosting-dan-domain	0	lesson
2593	53	2022-11-03 06:43:28	<p>Dalam Video ini anda akan belajar Integrasi anatara Dewabiz dan Domainer.&nbsp;</p><p>Nameserver Dewabiz : ns1.dewabiz.com dan ns2.dewabiz.com (Jika tidak bisa terhubung, silahkan hbungi admin dewabiz untuk update terbarunya)<br><br>Klik <strong>COMPLATE</strong> Untuk melanjutkan materi.</p>	Cara Integrasi Hosting dan Domain + Pasang SSL	publish	cara-integrasi-hosting-dan-domain-pasang-ssl	0	lesson
2594	53	2022-11-03 08:06:40	<p>Dalam Video ini anda akan belajar tentang mengatur PHP pada cpanel/hosting.</p><p>Fungsi ini agar antara, wordpress, themes, plugin dan sistem bisa berjalan semua, karena menggunakan PHP terbaru.</p><p>Klik <strong>COMPLATE</strong> Untuk melanjutkan materi.</p>	Cara Mengatur PHP dn Cpanel	publish	cara-mengatur-php-dn-cpanel	0	lesson
2595	53	2022-11-03 08:08:57	<p>Dalam Video ini, anda akan belajar untuk membuat email bisnis atau email perusahaan, fungsinya ketika anda mengirim email ke buyer, bukan menggunakan email gmail tapi menggunakan email bisnis atau email perusahaan.&nbsp;</p><p>Klik <strong>COMPLATE</strong> Untuk melanjutkan materi.</p>	Cara Membuat Email Bisnis	publish	cara-membuat-email-bisnis	0	lesson
